id;name;start;end;V
1;ENFERMEDADES INFECCIOSAS INTESTINALES;1;9;FALSE
2;TUBERCULOSIS;10;18;FALSE
3;ENFERMEDADES BACTERIANAS ZOONOSICAS;20;27;FALSE
4;OTRAS ENFERMEDADES BACTERIANAS;30;41;FALSE
5;INFECCION POR VIRUS DE LA INMUNODEFICIENCIA HUMANA;42;42;FALSE
6;POLIOMIELITIS, OTRAS ENFERMEDADES VIRICAS Y ENFERMEDADES PRIONICAS DEL SISTEMA NERVIOSO CENTRAL NO TRANSMITIDAS POR ARTROPODOS;45;49;FALSE
7;ENFERMEDADES VIRICAS ACOMPAÑADAS GENERALMENTE DE EXANTEMA;50;59;FALSE
8;ENFERMEDADES VIRICAS PORTADAS POR ARTROPODOS;60;66;FALSE
9;OTRAS ENFERMEDADES DEBIDAS A VIRUS Y A CLAMIDIAS;70;79;FALSE
10;RICKETTSIOSIS Y OTRAS ENFERMEDADES PORTADAS POR ARTROPODOS;80;88;FALSE
11;SIFILIS Y OTRAS ENFERMEDADES VENEREAS;90;99;FALSE
12;OTRAS ENFERMEDADES ESPIROQUETALES;100;104;FALSE
13;MICOSIS;110;118;FALSE
14;HELMINTIASIS;120;129;FALSE
15;OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;130;136;FALSE
16;EFECTOS TARDIOS DE LAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;137;139;FALSE
17;NEOPLASIA MALIGNA DE LABIO, CAVIDAD ORAL Y FARINGE;140;149;FALSE
18;NEOPLASIAS MALIGNAS DE LOS ORGANOS DIGESTIVOS Y DEL PERITONEO;150;159;FALSE
19;NEOPLASIA MALIGNA DE LOS ORGANOS RESPIRATORIOS E INTRATORACICOS;160;165;FALSE
20;NEOPLASIA MALIGNA DE HUESO, TEJIDO CONECTIVO, PIEL Y MAMA;170;176;FALSE
21;NEOPLASIA MALIGNA DE ORGANOS GENITOURINARIOS;179;189;FALSE
22;NEOPLASIA MALIGNA DE OTRAS LOCALIZACIONES Y DE LOCALIZACIONES NO ESPECIFICADAS;190;199;FALSE
23;NEOPLASIA MALIGNA DE TEJIDOS LINFATICOS Y HEMATOPOYETICOS;200;208;FALSE
24;TUMORES NEUROENDOCRINOS;209;209;FALSE
25;NEOPLASIAS BENIGNAS;210;229;FALSE
26;CARCINOMA IN SITU;230;234;FALSE
27;NEOPLASIAS DE EVOLUCION INCIERTA;235;238;FALSE
28;NEOPLASIAS DE NATURALEZA NO ESPECIFICADA;239;239;FALSE
29;TRASTORNOS DE LA GLANDULA TIROIDEA;240;246;FALSE
30;ENFERMEDADES DE OTRAS GLANDULAS ENDOCRINAS;249;259;FALSE
31;DEFICIENCIAS NUTRITIVAS;260;269;FALSE
32;OTROS TRASTORNOS METABOLICOS Y DE INMUNIDAD;270;279;FALSE
33;ENFERMEDADES DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS;280;289;FALSE
34;PSICOSIS;290;299;FALSE
35;TRASTORNOS NEUROTICOS, TRASTORNOS DE LA PERSONALIDAD Y OTROS TRASTORNOS MENTALES NO PSICOTICOS;300;316;FALSE
36;DISCAPACIDADES INTELECTUALES;317;319;FALSE
37;ENFERMEDADES INFLAMATORIAS DEL SISTEMA NERVIOSO CENTRAL;320;326;FALSE
38;TRASTORNOS ORGANICOS DEL SUEÑO;327;327;FALSE
39;ENFERMEDADES HEREDITARIAS Y DEGENERATIVAS DEL SISTEMA NERVIOSO CENTRAL;330;337;FALSE
40;DOLOR;338;338;FALSE
41;OTROS SINDROMES DE CEFALALGIA;339;339;FALSE
42;OTROS TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL;340;349;FALSE
43;TRASTORNOS DEL SISTEMA NERVIOSO PERIFERICO;350;359;FALSE
44;TRASTORNOS DEL OJO Y DE LOS ANEXOS;360;379;FALSE
45;ENFERMEDADES DEL OIDO Y PROCESO MASTOIDEO;380;389;FALSE
