id;name;start;end
1;ENFERMEDADES INFECCIOSAS Y PARASITARIAS;001;139
2;NEOPLASIAS;140;239
3;ENFERMEDADES ENDOCRINAS, DE LA NUTRICION Y METABOLICAS Y TRASTORNOS DE LA INMUNIDAD;240;279
4;ENFERMEDADES DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS;280;289
5;TRASTORNOS MENTALES, DEL COMPORTAMIENTO Y EL DESARROLLO NEUROLOGICO;290;319
6;ENFERMEDADES DEL SISTEMA NERVIOSO Y DE LOS ORGANOS DE LOS SENTIDOS;320;389
7;ENFERMEDADES DEL SISTEMA CIRCULATORIO;390;459
8;ENFERMEDADES DEL APARATO RESPIRATORIO;460;519
9;ENFERMEDADES DEL APARATO DIGESTIVO;520;579
10;ENFERMEDADES DEL APARATO GENITOURINARIO;580;629
11;COMPLICACIONES DEL EMBARAZO, PARTO Y PUERPERIO;630;679
12;ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTANEO;680;709
13;ENFERMEDADES DEL SISTEMA OSTEOMIOARTICULAR Y TEJIDO CONJUNTIVO;710;739
14;ANOMALIAS CONGENITAS;740;759
15;CIERTAS ENFERMEDADES CON ORIGEN EN EL PERIODO PERINATAL;760;779
16;SINTOMAS, SIGNOS Y ESTADOS MAL DEFINIDOS;780;799
17;LESIONES Y ENVENENAMIENTOS;800;999
